Start
0.003057030884068517
0.000189888115255556,0.0021369278276164184
0.00010218299196719689,0.0014954116035339627
0.0011854913059081585,7.774083977828776e-05,6.204521497800604e-05,0.001414836533703433
-8.456728271453945e-05,-9.0547377371809e-05,8.839724814781354e-05,5.541837060740913e-05,0.0013826458270827114
4.3950164702698946e-05,-4.831459619698483e-06,9.652744173869089e-05,5.042421490152223e-05,0.0012403406056853434
0.00011960753129725017,4.7244710439613494e-05,0.00010921742900609662,4.9683787599815246e-05,0.0009588666321326978
0.00016511267452258717,6.63155469739999e-05,0.00014592585956897452,6.750215678042772e-05,0.00040846130018473877
8.030640952182043e-05,-3.739217323173692e-05,5.451536203939423e-05,-3.922598951721333e-05,-2.5683403512595168e-05
7.86399427729647e-05,-5.403370094136787e-05,4.8465542916211856e-05,-5.764044575572711e-05,-3.540914390341536e-05
8.07450195520224e-05,-6.162882722927053e-05,4.803122172623872e-05,-6.620190446969369e-05,-3.3894114791528304e-05
8.357057504186863e-05,-6.478219013872897e-05,4.943726449748209e-05,-6.986032908495713e-05,-2.5629596873936664e-05
8.584904087979526e-05,-6.590412131956256e-05,5.097068075699971e-05,-7.122347435405626e-05,-1.4345272792979855e-05
8.718679378125359e-05,-6.621511005123169e-05,5.197086682573272e-05,-7.162246646097263e-05,-2.403089435677394e-06
8.7587210332207e-05,-6.630261250364054e-05,5.228837168169178e-05,-7.169480828016019e-05,1.7806637628865057e-06
8.721362063067217e-05,-6.642090027564156e-05,5.198025701220981e-05,-7.173886358491192e-05,1.406018850432303e-06
8.626905684643455e-05,-6.665784096005476e-05,5.1181045698051676e-05,-7.187221116677759e-05,9.838794088491004e-07
8.49422716442219e-05,-6.702433569548264e-05,5.0041215514290906e-05,-7.211773303185225e-05,4.978992687466183e-07
8.338943380869552e-05,-6.749938893048195e-05,4.8693212959348773e-05,-7.246141992900214e-05,4.087739102938415e-08
8.173063558607245e-05,-6.805245881768944e-05,4.7242542685635524e-05,-7.287669528355787e-05,-3.7795997956217853e-07
8.005327051599399e-05,-6.865368733710423e-05,4.5767722420151814e-05,-7.333611087267041e-05,-7.589321014116884e-07
7.84177541440196e-05,-6.927793704011691e-05,4.432392197223661e-05,-7.381611263456374e-05,-1.1074961718520598e-06
7.686348528714296e-05,-6.99057849422571e-05,4.29476137697941e-05,-7.429843223616221e-05,-1.429757273253493e-06
7.541414251735612e-05,-7.052315759837301e-05,4.166104023554042e-05,-7.476992468922854e-05,-1.7312112017258546e-06
7.408203244046294e-05,-7.112045918435637e-05,4.047603111237612e-05,-7.522179557307128e-05,-2.0163656293519655e-06
7.287149091007708e-05,-7.16916046854376e-05,3.939706095205116e-05,-7.564867940445193e-05,-2.2887455701624954e-06
7.178145557582417e-05,-7.223313876660552e-05,3.84235967033027e-05,-7.604777686177032e-05,-2.5510200948996448e-06
7.08073619074366e-05,-7.274350354323302e-05,3.755184492877486e-05,-7.641812850934203e-05,-2.8051531171507244e-06
6.994250997673956e-05,-7.322246252239144e-05,3.677601913328186e-05,-7.676003981392312e-05,-3.0525428960353346e-06
6.917902918064019e-05,-7.367066406139926e-05,3.608923745546517e-05,-7.707464436613174e-05,-3.2941405249935912e-06
6.850854414875514e-05,-7.40893199255837e-05,3.548414304958803e-05,-7.736358257192343e-05,-3.5305476437635236e-06
6.79226224295071e-05,-7.447997438903505e-05,3.4953320746498144e-05,-7.76287717540998e-05,-3.762096360005948e-06
6.741306529043231e-05,-7.484434222493168e-05,3.448956671557322e-05,-7.78722461312175e-05,-3.988914823128617e-06
6.697208734769313e-05,-7.518419790630639e-05,3.408605381990886e-05,-7.80960487818446e-05,-4.21098131722468e-06
6.6592418645777e-05,-7.550130212252506e-05,3.373642424191323e-05,-7.830216150251333e-05,-4.428169008139846e-06
6.626735356370873e-05,-7.579735499898925e-05,3.3434832370591085e-05,-7.84924617118609e-05,-4.640282975905059e-06
6.59907640649587e-05,-7.607396812559495e-05,3.3175954536728644e-05,-7.866869829364063e-05,-4.847090529112516e-06
6.575708992402123e-05,-7.633264914086942e-05,3.2954977447304814e-05,-7.883248036776556e-05,-5.04834016526283e-06
6.556131381937277e-05,-7.657479611847064e-05,3.276757312995716e-05,-7.898527496565631e-05,-5.2437901347773125e-06
6.539892833437198e-05,-7.680169733493246e-05,3.260986654664526e-05,-7.912841018309184e-05,-5.4332218402102644e-06
6.526589871462371e-05,-7.701453451036851e-05,3.247839971386539e-05,-7.926308170680234e-05,-5.616448475421684e-06
6.51586240122478e-05,-7.721438832518853e-05,3.2370094782523935e-05,-7.939036130167297e-05,-5.79332227012945e-06
6.507389844478877e-05,-7.740224518459037e-05,3.228221774847282e-05,-7.951120624770228e-05,-5.963738747906053e-06
6.500887416684964e-05,-7.757900448645907e-05,3.221234382630485e-05,-7.962646904348194e-05,-6.1276385154972884e-06
6.496102610974845e-05,-7.774548599148202e-05,3.215832507556955e-05,-7.973690693029688e-05,-6.285007078150537e-06
6.492811927088905e-05,-7.79024369748028e-05,3.2118260557742266e-05,-7.984319099587297e-05,-6.4358731106644446e-06
6.490817860338495e-05,-7.805053900543889e-05,3.209046912604566e-05,-7.994591469031296e-05,-6.5803056112766906e-06
6.489946151411081e-05,-7.819041425324706e-05,3.207346480891173e-05,-8.004560168851059e-05,-6.7184102479477675e-06
6.490043289508495e-05,-7.832263128304689e-05,3.2065934668769294e-05,-8.014271308164609e-05,-6.850325241973196e-06
6.490974257219592e-05,-7.844771031815926e-05,3.206671897967116e-05,-8.023765390974765e-05,-6.976216994967685e-06
