Start
0.0020367432854862134,0.003983782997846215
0.0003947875446159866,0.002341827256976405
-5.3544184404185485e-06,0.0017638107696267015
-1.1006166900136977e-06,0.0017835500510694508
2.844609881223932e-05,0.0019977143863465514,0.001993938756526219
2.2173013737756056e-05,0.0005770344867943606,0.0021956783681111886
1.8223539639742117e-05,1.023903991391635e-05,0.002388840867301638
1.3497143313877594e-05,1.771207181698077e-05,0.0025776744767973415
8.539155248463506e-06,9.809219714941933e-06,0.002768025879898552
4.671455659419413e-06,6.027331693080924e-06,2.233534884365021e-06,0.0029550868638794792
1.7975952555458058e-06,9.67441382619458e-06,-1.2949994061661058e-06,0.0031324622343096176
-3.2194173570608553e-07,1.3366505068048145e-05,-2.792544033588737e-06,0.00329510932566922
-1.8546693851871007e-06,-4.063279017902863e-06,1.5943754917369346e-05,-3.889741055236248e-06,0.0034391462902350085
-7.856643793220284e-07,-4.875901934887558e-06,1.79144519175058e-05,-3.851725402839387e-06,0.0035681841184522518
4.374832473283935e-08,-5.565875132554007e-06,1.8585112652894868e-05,-4.549006683547338e-06,0.003673392746982294
9.498020443360606e-07,-5.933952291986219e-06,1.917640465613086e-05,-4.913498365287025e-06,0.0037525602610368903
2.0072630507935587e-06,-6.0061620412495825e-06,1.9788080385381898e-05,-4.973398638473056e-06,0.003803279536095371
3.459813826644881e-06,-5.668525746819683e-06,2.067989206049181e-05,-4.623009141951559e-06,0.003822454753687825
6.027565749015164e-06,-4.4616920764611184e-06,2.2638511571977555e-05,-3.379963157126506e-06,0.0038042464378713484
1.329568627427161e-05,1.8077986553045877e-07,3.0326556076607308e-05,2.0168427246076287e-06,0.0037278260316380447
-3.032314140583726e-06,-1.8535004298712507e-05,1.2922770670778388e-05,-1.6719122443163356e-05,0.003621956100974504
-5.8113879181837074e-06,-2.3223117903132737e-05,1.0357114712601777e-05,-2.013810647862567e-05,0.003551220887184613
-6.578878872818479e-06,-2.4983287646883e-05,9.43348522407703e-06,-2.1213373951894585e-05,0.0035026332177621206
-6.617519273425201e-06,-2.5382858929173455e-05,9.559933999362084e-06,-2.1214042003286568e-05,0.003467654191551055
-6.413046877401909e-06,-2.51164292486266e-05,9.902839654006757e-06,-2.0776698204784047e-05,0.0034411855282125998
-6.192358810288023e-06,-2.4538084582683903e-05,1.0684737553081853e-05,-2.008939889663018e-05,0.003420099291180605
-6.0508582991518785e-06,-2.3839602288478964e-05,1.168996335681898e-05,-1.932130689818838e-05,0.0034024721326353247
-6.016978190785756e-06,-2.3119719510180867e-05,1.2779074031084949e-05,-1.8562500255786193e-05,0.0033870792932135527
-6.172244404570452e-06,-2.2482682796148498e-05,1.388762591665842e-05,-1.7841781049693015e-05,0.003372556602346798
-6.4397578691880855e-06,-2.190098984009535e-05,1.4979267038852041e-05,-1.7179419663051684e-05,0.0033593052698834575
-6.740984343002584e-06,-2.1333136630758906e-05,1.603861179406221e-05,-1.6575201629681277e-05,0.003346947687188532
-7.085490336146643e-06,-2.0819823165712723e-05,1.705536235405991e-05,-1.602930718225086e-05,0.0033349323219693397
-7.60201109769924e-06,-2.0525669133018495e-05,1.8024029086443705e-05,-1.5540090142060134e-05,0.003322937130950653
-7.834734809353245e-06,-1.9962950543980437e-05,1.893270365744319e-05,-1.5111654297029695e-05,0.0033111978453203867
-8.131672681178176e-06,-1.9481822968380955e-05,1.978775188035148e-05,-1.4740903862232521e-05,0.003299731220925071
-8.449956666178885e-06,-1.9040641858978843e-05,2.0598532706594926e-05,-1.4413607980301099e-05,0.0032882922999306497
-8.780166655572083e-06,-1.8632800805612124e-05,2.1370987386186322e-05,-1.4122459542886476e-05,0.00327686795762293
-9.115681022930044e-06,-1.825344558415397e-05,2.2109766226653603e-05,-1.3861839538662976e-05,0.003265441705200949
-9.451781424877037e-06,-1.7898876713438525e-05,2.2818593140563965e-05,-1.3627344962905893e-05,0.0032540019386389247
-9.785118075284026e-06,-1.756618517246948e-05,2.350051956834413e-05,-1.3415459453316667e-05,0.003242540733895837
-1.011338374677658e-05,-1.725287511811051e-05,2.4158118571958975e-05,-1.3223325184391274e-05,0.003231052703891695
-1.0443830559085793e-05,-1.6958471302589914e-05,2.479381496527208e-05,-1.3049010804564928e-05,0.0032195343469225857
-1.0715471037883914e-05,-1.66089639781538e-05,2.5411543217582415e-05,-1.2890220806525618e-05,0.0032079802256796703
-1.0967939197352685e-05,-1.6245572896039437e-05,2.6012971570393244e-05,-1.2745018802764671e-05,0.003196407667223276
-1.1202090261335236e-05,-1.5868993765042957e-05,2.6599668599543233e-05,-1.2611854498757388e-05,0.003184816042939716
-1.1418870409674374e-05,-1.5480061879234383e-05,2.7172825198235874e-05,-1.2489534883848227e-05,0.0031732056984468144
-1.1619308240354668e-05,-1.5079715055555873e-05,2.7733394801371645e-05,-1.2377094414496234e-05,0.003161576637561005
-1.1804449913937072e-05,-1.4668920923046821e-05,2.828217296194902e-05,-1.2273721368810317e-05,0.0031499286678473588
-1.1975322010568868e-05,-1.424863542332476e-05,2.881984596002856e-05,-1.2178712426756319e-05,0.0031382615068842063
-1.2132911220299162e-05,-1.3819780079199137e-05,2.9347020889901766e-05,-1.209144421230289e-05,0.003126574840747189
