Start
0.0006476278674118919
-5.327222544660934e-06,0.0020370083033098858
0.00010195548029014352,4.647816906343423e-05
6.637626877625986e-05,6.971702736670651e-06
4.689747780359417e-05,5.764676943183789e-05,5.486558386835934e-05
3.1445444230506284e-05,3.904178676080017e-05,2.585573686110683e-05
2.0826855273124387e-05,2.0416422738008325e-05,3.8131583048021496e-05,1.7688167341269392e-05
1.3681375236841079e-05,9.796424783175064e-06,3.6409146689623986e-05,1.110607203693055e-05
1.1644956471004806e-05,5.252719335298653e-06,3.577568161657502e-05,7.425830305997708e-06
1.0065637513252627e-05,1.806123315130706e-06,3.38176576233717e-05,3.402057913827819e-06
8.7441839687958e-06,-1.0495821907135355e-06,3.2576432925786604e-05,8.155483495076582e-07
8.297432238314599e-06,-2.786424307966648e-06,3.1610340252828595e-05,-9.437667525240973e-07
8.36471089018605e-06,-3.847315913184032e-06,3.084280231536372e-05,-2.0648241234582504e-06
8.71632371612063e-06,-4.510829687330228e-06,3.0088396381640456e-05,-2.80504658900331e-06
9.381469376039098e-06,-4.790973513231142e-06,2.9573565716673504e-05,-3.01956161829868e-06
1.0368098823129247e-05,-4.7178066642211e-06,2.9080304829220733e-05,-2.9702637489564115e-06
1.1697707944309039e-05,-4.302763988882005e-06,2.8902476889816298e-05,-2.4294726503736735e-06
1.3354259441491961e-05,-3.5889884697475755e-06,2.9307698308271344e-05,-1.2108192761744324e-06
1.6501802760984985e-05,-1.5431257229924639e-06,3.103435444007085e-05,1.2834612464086154e-06
2.3419665630476174e-05,3.7965350434560757e-06,3.79946983517119e-05,8.460805125622486e-06
5.513112773588693e-05,3.11293456716228e-05,7.857296048349044e-05,4.5260077717880834e-05
2.0543204948731038e-05,-6.270511063942094e-06,2.6685798229821586e-05,-6.842717774844728e-06
2.3247196556807176e-05,-5.745810316660702e-06,2.8367374919603665e-05,-5.343172050793418e-06
2.251947089234653e-05,-7.499777193718457e-06,2.5991387745308604e-05,-6.759765961884476e-06
2.1901291741597286e-05,-7.789492460592504e-06,2.3884196448620816e-05,-7.376532069834282e-06
2.129187882661392e-05,-8.199464773593276e-06,2.177721658842191e-05,-7.4281165283168055e-06
2.092679961671974e-05,-8.544414998879965e-06,1.9993417319015516e-05,-7.640614859262193e-06
2.0865734891649028e-05,-8.685673690734738e-06,1.8392849178823666e-05,-7.769684406284602e-06
2.092908927244411e-05,-8.767660337081692e-06,1.6928794903178113e-05,-7.818695563195296e-06
