0.0015121562263471378
-2.6112996514126435e-06
0.002926165840777333,-8.732897264688774e-06
0.0013800204038323261,2.7049959873976653e-06
-1.2628673595511605e-05,3.2273732163858385e-05
1.6853200434542928e-05,2.3106517596850965e-05
2.2040972089023073e-05,1.53422768625084e-05
1.142656502371893e-05,8.571633484557098e-06
6.617728864248898e-06,3.7852235073177615e-06
3.117154903755151e-06,4.874952683770611e-07
6.985000895205068e-07,-1.7787308268218255e-06
-9.923701051186626e-07,-3.5885072773422094e-06,-3.3309635158861733e-06
-2.2419312061412256e-07,-4.888175257232105e-06,-4.351097904848819e-06
8.294316949066025e-07,-5.342963040206802e-06,-5.006589354870569e-06
1.665049602382213e-06,-5.574674550199929e-06,-5.414144984129329e-06
2.4598795100855808e-06,-5.51174391080593e-06,-5.457050267441629e-06
3.2112988339673213e-06,-5.249697804686135e-06,-5.30928501493548e-06
4.068112376245318e-06,-4.716599490318593e-06,-4.8345006458099665e-06
5.393656104538525e-06,-3.6518407620211163e-06,-3.7994006636381944e-06
8.48561120416128e-06,-1.0051013099709322e-06,-1.1935985011601175e-06
2.1464265798454904e-05,1.0112053747903318e-05,9.913663274506782e-06
4.682096394172564e-06,-7.773274907070176e-06,-7.911548834947864e-06,-9.188998746119045e-06
5.1450863713534566e-06,-7.810475009624104e-06,-5.02857001986363e-06,-8.376441536157506e-06
4.3012689013781e-06,-8.423597940286284e-06,-4.634358403350635e-06,-9.253290828443658e-06
3.3886579606021445e-06,-8.733272667911171e-06,-4.2272617602609644e-06,-9.673476889069874e-06
2.4098607191130856e-06,-8.916250806343881e-06,-3.960246098343836e-06,-9.795653303416516e-06
1.5896415070668844e-06,-8.999723531950485e-06,-4.020770058015826e-06,-9.869955957210116e-06
8.732134262502407e-07,-9.109936043081787e-06,-4.2489020678198365e-06,-9.909345619852836e-06
2.8749697981056966e-07,-9.124510172526731e-06,-4.281259854029555e-06,-9.998271453188698e-06
-2.785867914770057e-07,-9.145961774799025e-06,-4.224880560638665e-06,-1.002408731953612e-05
-8.189001452840115e-07,-9.160052700572449e-06,-3.919694222197888e-06,-9.811562015514183e-06
-1.3513776264455415e-06,-9.171284522267384e-06,-4.052682283563012e-06,-1.0061671204887254e-05
-1.863003117333547e-06,-9.176174710077631e-06,-3.3563004881224492e-06,-9.46446648451664e-06
-2.3876359514790745e-06,-9.185969911602518e-06,-3.8388950638096705e-06,-1.0086844465238484e-05
-2.8850384378422492e-06,-9.184773833713009e-06,-2.874765183027509e-06,-9.221327317952485e-06
-3.4110626814190936e-06,-9.197310860241045e-06,-3.5977719723241905e-06,-1.0096854388351104e-05
-3.929225596226971e-06,-9.207144817916995e-06,-2.519827786839328e-06,-9.117997665548591e-06
-4.430266240849406e-06,-9.197925203928078e-06,-3.3407630949998767e-06,-1.0095532924954062e-05
-4.902728791483224e-06,-9.186410651047458e-06,-2.269025344325922e-06,-9.120799088225759e-06
-5.242515196157775e-06,-9.028881513771167e-06,-3.0819016775966586e-06,-1.0085585285353124e-05
-5.898059751914297e-06,-9.208648739765166e-06,-2.1070556346635066e-06,-9.202012075213914e-06
-6.319805900991884e-06,-9.217625724254261e-06,-2.8240473499668467e-06,-1.0057869784791881e-05
-6.68383412038159e-06,-9.225534307820069e-06,-2.1161147517138703e-06,-9.441729610799518e-06
-7.012720621803181e-06,-9.240411597012319e-06,-2.572760020283127e-06,-1.0022986392617048e-05
-7.290464814640581e-06,-9.247000868807184e-06,-2.2108639608702328e-06,-9.757995565571817e-06
-7.540194247298148e-06,-9.258180181824158e-06,-2.3301750529723916e-06,-9.987231003314931e-06
-7.754256241479472e-06,-9.264939675677694e-06,-2.207759086732493e-06,-9.965521701861199e-06
-7.94395707686109e-06,-9.272960827420504e-06,-2.1034996375880942e-06,-9.961470931461533e-06
-8.109736033735843e-06,-9.279734820328775e-06,-1.9992483179547807e-06,-9.956436408898803e-06
-8.254923028155085e-06,-9.285731671358419e-06,-1.896147869858554e-06,-9.951721984464632e-06
-8.38211304393009e-06,-9.291039587243019e-06,-1.7939909208607439e-06,-9.947239588690635e-06
-8.493613013081365e-06,-9.295757642092603e-06,-1.6926579366344664e-06,-9.942987383907906e-06
-8.591440147353858e-06,-9.299966210225483e-06,-1.5920242857079085e-06,-9.93895008226213e-06
-8.67735788020246e-06,-9.303733196073735e-06,-1.4919725375296733e-06,-9.935110118817689e-06
-8.752905931978447e-06,-9.307116294333603e-06,-1.392394227209911e-06,-9.931449149526081e-06
-8.819427679772002e-06,-9.31016485794349e-06,-1.2931907155684619e-06,-9.927949284225732e-06
-8.87809457882154e-06,-9.312921305014085e-06,-1.19427314564187e-06,-9.92459371105918e-06
-8.929927812056988e-06,-9.315422231119183e-06,-1.0955619271790767e-06,-9.92136697974648e-06
-8.975817374320093e-06,-9.317699306980384e-06,-9.969860314832676e-07,-9.91825511697901e-06
-9.016538826545807e-06,-9.319779980863571e-06,-8.984821798804736e-07,-9.91524561277761e-06
-9.36252867078484e-06,-9.32164047192994e-06,-7.99994021488399e-07,-9.912327334269874e-06
-9.307433704875898e-06,-9.256142998554042e-06,-7.012532017601188e-07,-9.90827825188105e-06
-9.309653761889122e-06,-9.24535999294021e-06,-6.035101290696954e-07,-9.905275822450973e-06
-9.308911227854863e-06,-9.231146289780887e-06,-5.052650418799468e-07,-9.901927603859703e-06
-9.308685301924122e-06,-9.216737053920426e-06,-4.072137668510529e-07,-9.899037536563113e-06
-9.308644237397343e-06,-9.201742986154841e-06,-3.090704791331138e-07,-9.896369378424238e-06
-9.308733928790544e-06,-9.186064324021954e-06,-2.1073680827545502e-07,-9.893862267905045e-06
-9.308906531181257e-06,-9.169622436267477e-06,-1.1213615670257135e-07,-9.891466062434892e-06
-9.309130817534636e-06,-9.152364432851843e-06,-1.3216229412799872e-08,-9.889148039355852e-06
-9.309385788676058e-06,-9.134253614561934e-06,8.606003533642386e-08,-9.88688618909321e-06
-9.30965737721938e-06,-9.115264088595962e-06,1.8571950156999395e-07,-9.884665743460294e-06
-9.30993615022406e-06,-9.095377125560891e-06,2.857822563171732e-07,-9.88247676333813e-06
-9.310215802983343e-06,-9.074578770813724e-06,3.8626385272006987e-07,-9.880312563449387e-06
-9.31049211794037e-06,-9.052858235665072e-06,4.871768328294158e-07,-9.878168617067848e-06
-9.31076228582843e-06,-9.030206843180765e-06,5.885317084866092e-07,-9.876041857854664e-06
-9.311024448564395e-06,-9.006617330184633e-06,6.903376224892805e-07,-9.873930210150747e-06
-9.311277376479118e-06,-8.982083361383275e-06,7.926028171747988e-07,-9.871832231429442e-06
-9.31152027594355e-06,-8.956599233894078e-06,8.953348965578047e-07,-9.86974694261282e-06
-9.311752638961265e-06,-8.930159657712499e-06,9.985410503593398e-07,-9.8676736477437e-06
-9.311974151977528e-06,-8.902759618766045e-06,1.1022281677075614e-06,-9.865611861446452e-06
-9.312184630750828e-06,-8.874394284475937e-06,1.2064029407215512e-06,-9.863561224883119e-06
-9.312383974375768e-06,-8.845058939142122e-06,1.3110719156648411e-06,-9.861521471641807e-06
-9.312572154957996e-06,-8.81474895774201e-06,1.4162415280007053e-06,-9.859492404061185e-06
-9.312749167598652e-06,-8.783459751016075e-06,1.5219181447332903e-06,-9.857473855191461e-06
-9.312915047797118e-06,-8.751186772559398e-06,1.628108064199449e-06,-9.855465695761054e-06
-9.313069835077334e-06,-8.717925486916634e-06,1.7348175457394503e-06,-9.853467806365465e-06
-9.313213595650224e-06,-8.68367137989321e-06,1.8420527975955481e-06,-9.851480093232487e-06
-9.313346390758467e-06,-8.648419933367137e-06,1.9498200075680154e-06,-9.849502457871459e-06
-9.313468292344515e-06,-8.612166636946356e-06,2.058125320824561e-06,-9.847534820249179e-06
-9.313579377693768e-06,-8.574906980197175e-06,2.1669748663236367e-06,-9.845577092491495e-06
-9.31367971791601e-06,-8.536636446371504e-06,2.2763747355259133e-06,-9.843629204418433e-06
-9.313769394154667e-06,-8.49735052405033e-06,2.386331007249395e-06,-9.84169107299919e-06
-9.313848485998852e-06,-8.457044693904296e-06,2.49684972704703e-06,-9.839762628928092e-06
-9.313917065821228e-06,-8.415714430844765e-06,2.6079369227775864e-06,-9.83784379805612e-06
-9.31397521754078e-06,-8.37335521368276e-06,2.7195985989573933e-06,-9.835934507538766e-06
-9.314023017069004e-06,-8.329962512319761e-06,2.83184073526154e-06,-9.834034689458135e-06
-9.3140605390684e-06,-8.285531792105334e-06,2.944669296030159e-06,-9.832144270109297e-06
-9.314087865195872e-06,-8.24005852264953e-06,3.058090214197951e-06,-9.830263184113994e-06
-9.314105066117115e-06,-8.193538161155653e-06,3.1721094121524968e-06,-9.828391358780372e-06
-9.314112225279267e-06,-8.14596617094711e-06,3.2867327816947322e-06,-9.826528730492654e-06
-9.314109412848423e-06,-8.097338004605908e-06,3.4019662007200513e-06,-9.824675228252075e-06
-9.314096705679772e-06,-8.047649117545117e-06,3.5178155214360613e-06,-9.822830786777523e-06
-9.314074176603945e-06,-7.99689495937689e-06,3.6342865782451685e-06,-9.820995338525804e-06
-9.314041901962652e-06,-7.945070982336287e-06,3.751385182026929e-06,-9.819168820505639e-06
-9.313999952865679e-06,-7.89217263121987e-06,3.86911712865901e-06,-9.817351162453788e-06
-9.3139484029902e-06,-7.838195350976859e-06,3.987488186679837e-06,-9.815542304057387e-06
-9.313887325180722e-06,-7.783134587555674e-06,4.106504110500246e-06,-9.813742177329152e-06
-9.313816788701287e-06,-7.726985781284229e-06,4.226170628926557e-06,-9.811950721456617e-06
-9.31373686772867e-06,-7.669744375474165e-06,4.346493455305233e-06,-9.810167872490935e-06
